iteration,N,M_min,M_max,M_ratio,alpha_true,fit_method,alpha_fit,alpha_uncertainty,convergence_status,timestamp,runtime_ms,r_squared
77,500,0.1,100.0,1000.0,2.35,mle,2.369350229824624,0.061239203977856385,True,2026-02-03T10:10:45.798584,0.04696846008300781,
77,500,0.1,100.0,1000.0,2.35,ls,2.3232488729316945,0.05272030675143317,True,2026-02-03T10:10:45.798592,0.3573894500732422,0.9953868371115604
78,500,0.1,100.0,1000.0,2.35,mle,2.300829059845328,0.05817484409842591,True,2026-02-03T10:10:45.799131,0.04696846008300781,
78,500,0.1,100.0,1000.0,2.35,ls,2.174351858573344,0.0968825245903307,True,2026-02-03T10:10:45.799147,0.43487548828125,0.9805332447139812
79,500,0.1,100.0,1000.0,2.35,mle,2.4155029351508395,0.06330321570695507,True,2026-02-03T10:10:45.799666,0.04887580871582031,
79,500,0.1,100.0,1000.0,2.35,ls,2.2417830367871705,0.10526308240749836,True,2026-02-03T10:10:45.799674,0.4088878631591797,0.9784278313450745
80,500,0.1,100.0,1000.0,2.35,mle,2.2283784978034546,0.05493475646375201,True,2026-02-03T10:10:45.800152,0.04792213439941406,
80,500,0.1,100.0,1000.0,2.35,ls,1.9956323465787165,0.0867491459668131,True,2026-02-03T10:10:45.800160,0.3714561462402344,0.9778275910584006
81,500,0.1,100.0,1000.0,2.35,mle,2.318603519411488,0.05896974209549101,True,2026-02-03T10:10:45.800623,0.04673004150390625,
81,500,0.1,100.0,1000.0,2.35,ls,2.1343407544674524,0.10655700195384608,True,2026-02-03T10:10:45.800630,0.3590583801269531,0.9709585427589449
82,500,0.1,100.0,1000.0,2.35,mle,2.362879957392714,0.06094984459804251,True,2026-02-03T10:10:45.801093,0.04673004150390625,
82,500,0.1,100.0,1000.0,2.35,ls,2.10325252878446,0.12243083235404377,True,2026-02-03T10:10:45.801100,0.35762786865234375,0.9640665860422856
83,500,0.1,100.0,1000.0,2.35,mle,2.4048542210036548,0.0628269907328337,True,2026-02-03T10:10:45.801591,0.04673004150390625,
83,500,0.1,100.0,1000.0,2.35,ls,2.1689355313454812,0.10568048026434769,True,2026-02-03T10:10:45.801607,0.38552284240722656,0.9768097069654635
84,500,0.1,100.0,1000.0,2.35,mle,2.3898829903924366,0.0621574569457635,True,2026-02-03T10:10:45.802078,0.04792213439941406,
84,500,0.1,100.0,1000.0,2.35,ls,2.0088333675356904,0.152947398659089,True,2026-02-03T10:10:45.802086,0.3631114959716797,0.9400563822678386
85,500,0.1,100.0,1000.0,2.35,mle,2.3042403451742746,0.05832740141614935,True,2026-02-03T10:10:45.802550,0.04696846008300781,
85,500,0.1,100.0,1000.0,2.35,ls,2.1770014533211994,0.07750556668401797,True,2026-02-03T10:10:45.802558,0.3592967987060547,0.986249208193178
86,500,0.1,100.0,1000.0,2.35,mle,2.3057651919358806,0.05839559463643378,True,2026-02-03T10:10:45.803045,0.047206878662109375,
86,500,0.1,100.0,1000.0,2.35,ls,2.0518289701665187,0.09504384353614631,True,2026-02-03T10:10:45.803054,0.38170814514160156,0.9748981258368812
87,500,0.1,100.0,1000.0,2.35,mle,2.4127303682527463,0.06317922274582903,True,2026-02-03T10:10:45.803557,0.04839897155761719,
87,500,0.1,100.0,1000.0,2.35,ls,2.218432598718956,0.10532095679896802,True,2026-02-03T10:10:45.803565,0.3960132598876953,0.9801180933238762
88,500,0.1,100.0,1000.0,2.35,mle,2.475593848484122,0.06599056304782043,True,2026-02-03T10:10:45.804032,0.04744529724121094,
88,500,0.1,100.0,1000.0,2.35,ls,2.3670407781103036,0.15412230393061663,True,2026-02-03T10:10:45.804048,0.3609657287597656,0.9593287998472386
89,500,0.1,100.0,1000.0,2.35,mle,2.3590181760288127,0.060777140485164007,True,2026-02-03T10:10:45.804519,0.048160552978515625,
89,500,0.1,100.0,1000.0,2.35,ls,2.0942454369327024,0.08362425464214983,True,2026-02-03T10:10:45.804526,0.362396240234375,0.9827634226231318
90,500,0.1,100.0,1000.0,2.35,mle,2.3421090516797936,0.06002094145547593,True,2026-02-03T10:10:45.804993,0.04744529724121094,
90,500,0.1,100.0,1000.0,2.35,ls,2.2647651787550123,0.1048875442289586,True,2026-02-03T10:10:45.805001,0.3604888916015625,0.9769502297490275
91,500,0.1,100.0,1000.0,2.35,mle,2.284015002821702,0.0574228966087782,True,2026-02-03T10:10:45.805461,0.047206878662109375,
91,500,0.1,100.0,1000.0,2.35,ls,2.0544980577952616,0.08999178752613692,True,2026-02-03T10:10:45.805469,0.35500526428222656,0.979331139424798
92,500,0.1,100.0,1000.0,2.35,mle,2.3478859002228765,0.060279289976237015,True,2026-02-03T10:10:45.805935,0.048160552978515625,
92,500,0.1,100.0,1000.0,2.35,ls,2.1296625063459107,0.07582914452608329,True,2026-02-03T10:10:45.805943,0.3592967987060547,0.9899594355253226
